Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.01;10;Aportes para Funcionamiento;$ 15,865,509,056.00;$ 15,865,509,056.00;$ 15,865,509,056.00;$ 15,865,509,056.00;$ 15,865,509,056.00;$ 31,731,018,112.00;$ 18,865,509,056.00;$ 15,865,509,056.00;$ 15,865,509,056.00;$ 15,865,509,056.00;$ 43,058,406,454.00;$ 31,731,018,110.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.003;12;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;$ 254,794.58;$ 254,098.32;$ 237,704.88;$ 254,098.32;$ 245,901.60;$ 254,098.32;$ 245,901.60;$ 254,098.32;$ 0.00;$ 245,901.60;$ 254,098.32;$ 245,901.60
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.07.01;12;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 5,145,068,681.00;$ 0.00;$ 1,286,267,170.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.06.00;13;Excedentes Cooperativas Art.142, Ley 1819 del 2016;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 2,078,952,993.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.03;14;Matrículas Pregrado FSE;$ 0.00;$ 0.00;$ 0.00;$ 16,293,681,071.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 5,367,521,805.00;$ 0.00;$ 15,429,497,388.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.010;15;Rendimientos Financieros - SGR;$ 0.00;$ 0.00;$ 6,138.36;$ 1,566.74;$ 1,516.00;$ 1,566.43;$ 1,515.90;$ 1,464.22;$ 1,396.70;$ 1,201.50;$ 1,192.04;$ 557.08
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.004;16;Rendimientos Financieros - CREE;$ 87,500.11;$ 85,901.97;$ 81,771.20;$ 85,863.19;$ 83,822.35;$ 85,870.32;$ 83,822.29;$ 85,869.15;$ 85,872.76;$ 83,839.25;$ 171,776.36;$ 83,845.75
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02;16;Aportes para Inversion;$ 7,285,059,912.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.04;17;Devolucion de descuento por votacion;$ 302,104,088.00;$ 302,104,088.00;$ 302,104,088.00;$ 302,104,088.00;$ 302,104,088.00;$ 604,208,176.00;$ 302,104,088.00;$ 302,104,088.00;$ 302,104,088.00;$ 302,104,088.00;$ 604,208,176.00;$ 604,208,175.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.05;18;Articulo 87 CESU;$ 71,135,852.00;$ 71,135,852.00;$ 71,135,852.00;$ 71,135,852.00;$ 71,135,852.00;$ 142,271,704.00;$ 71,135,852.00;$ 71,135,852.00;$ 71,135,852.00;$ 71,135,852.00;$ 142,271,704.00;$ 142,271,709.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.007;20;Ingresos de Vigencias Anteriores - Propios;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 3,018,215.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 43,023.00;$ 640,603.00
2024;07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 4,914,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2024;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.04;20;Productos metálicos, maquinaria y equipo;$ 0.00;$ 0.00;$ 120,000.00;$ 845,000.00;$ 310,000.00;$ 0.00;$ 129,640.00;$ 1,820,000.00;$ 760,000.00;$ 0.00;$ 0.00;$ 2,032,750.00
