Seccion;Centro;Concepto;Número;Valor recaudo
FACULTAD DERECHO Y CIENCIAS SOCIALES;Maestría en Derechos Humanos - Tunja; Inscripciones ;8;1514700
FACULTAD CIENCIAS AGROPECUARIAS;Maestría en Desarrollo Rural; Inscripciones ;11;3382500
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Maestría en Desarrollo Territorial; Inscripciones ;23;7024000
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Maestría en Didáctica de la Matemática; Inscripciones ;28;8497100
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Docencia de Idiomas; Inscripciones ;12;3484800
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Maestría en Economía; Inscripciones ;1;307500
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Educación; Inscripciones ;33;10161600
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Educación Matemática; Inscripciones ;6;1796500
SECCIONAL DUITAMA;Maestría en Energías Renovales; Inscripciones ;17;5247400
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Filosofía; Inscripciones ;4;1230000
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Maestría en Finanzas; Inscripciones ;7;2129700
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Geografía; Inscripciones ;10;2983800
FACULTAD INGENIERIA;Maestría en Geotecnia; Inscripciones ;7;2084100
FACULTAD INGENIERIA;Maestría en Gerencia de Proyectos de Construcción; Inscripciones ;8;2346000
FACULTAD INGENIERIA;Maestría en Gestión Avanzada del Riesgo de Desastres; Inscripciones ;6;1161600
FACULTAD INGENIERIA;Maestría en Gestión de Integridad y Corrosión - Virtual - Tunja; Inscripciones ;13;3137600
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Gestión Educativa; Inscripciones ;26;7661800
SECCIONAL DUITAMA;Maestría en Gestión Estratégica de Proyectos; Inscripciones ;11;3382500
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Historia; Inscripciones ;10;3092000
SECCIONAL SOGAMOSO;Maestría en Ingeniería; Inscripciones ;5;1557400
FACULTAD INGENIERIA;Maestría en Ingeniería Ambiental; Inscripciones ;2;350200
SECCIONAL DUITAMA;Maestría en Innovación y Marketing Turístico; Inscripciones ;14;4259400
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Lingüística; Inscripciones ;4;1315400
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Literatura; Inscripciones ;8;2414400
SECCIONAL SOGAMOSO;Maestría en Logística; Inscripciones ;3;634900
FACULTAD INGENIERIA;Maestría en Metalurgia y Ciencias de los Materiales; Inscripciones ;6;1731000
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Patrimonio Cultural; Inscripciones ;12;3667200
FACULTAD CIENCIAS DE LA EDUCACION;Maestría en Pedagogía de la Cultura Física; Inscripciones ;17;5110600
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Maestría en Pedagogía de la Lengua Castellana y Literatura; Inscripciones ;22;6534100
FACULTAD CIENCIAS DE LA SALUD;Maestría en Psicología Clínica; Inscripciones ;3;899700
FACULTAD CIENCIAS BASICAS;Maestría en Química; Inscripciones ;10;3052200
SECCIONAL DUITAMA;Maestría en Robótica Educativa; Inscripciones ;6;1930400
SECCIONAL SOGAMOSO;Maestría en Seguridad y Salud en el Trabajo, énfasis en Higiene y Seguridad Industrial; Inscripciones ;6;1842100
SECCIONAL DUITAMA;Maestría en TIC Aplicadas a las Ciencias de la Educación; Inscripciones ;4;1184400
