FACULTAD;PROGRAMA;SEDE;MODALIDAD;TIPO INSCRIPCION;Número de CUOTAS;SEXO;Número de Estudiantes;VALOR MATRICULA BRUTA;VALOR MATRICULA NETA
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;18448560;15220062
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;8;73794240;20024376
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;7;64569960;38699276
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;2;18448560;14758848
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;5;46121400;24905556
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;9224280;4612140
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;15373800;12299040
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;4;30747600;9666279
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;4612140;3074760
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;1;7686900;3074760
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;1;9224280;7379424
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;1;9224280;7379424
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;9224280;7379424
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;4;36897120;20158896
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;4;36897120;20158896
CIENCIAS AGROPECUARIAS;DOCTORADO EN TERRITORIO Y DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;1;15373800;13067730
CIENCIAS AGROPECUARIAS;DOCTORADO EN TERRITORIO Y DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;24598080;19217250
CIENCIAS AGROPECUARIAS;DOCTORADO EN TERRITORIO Y DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;3;35859000;35859000
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;2;M;1;6149520;5227092
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;1;F;1;6149520;5842044
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;1;M;2;12299040;10454184
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;3;15988752;13221468
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;12299040;10454184
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;3;18448560;16911180
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;7;43046640;37512072
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;6149520;5534568
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;6149520;5184392
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;5;30747600;28287792
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;9839232;7686900
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;5;30747600;27365364
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;2;12299040;11684088
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;2;12299040;10454184
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;3;18448560;15681276
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;2;12299040;10454184
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN MANEJO DE RIEGO Y FERTIRRIGACIÓN;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;2;9839232;7994376
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN MANEJO DE RIEGO Y FERTIRRIGACIÓN;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;1;6149520;4919616
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN MANEJO DE RIEGO Y FERTIRRIGACIÓN;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;3;15988752;14143896
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN MANEJO DE RIEGO Y FERTIRRIGACIÓN;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;3;15988752;14143896
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN MANEJO DE RIEGO Y FERTIRRIGACIÓN;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;5;30747600;26442936
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN MANEJO DE RIEGO Y FERTIRRIGACIÓN;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;8;49196160;41816736
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;2;F;10;54115776;47658780
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;2;M;8;46736352;40279356
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;1;F;2;12299040;11069136
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;1;M;4;24598080;22138272
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;AGUAZUL;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;1;6149520;5534568
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;AGUAZUL;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;6149520;5227092
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;9;50426064;42431688
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;14;86093280;76518824
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;10;61495200;45813924
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;10;61495200;51963444
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;10;61495200;55345680
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;7;40586832;36282168
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;8;49196160;37729873
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;7;43046640;36897120
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS AGRARIAS ;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;2;21523320;18294822
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS AGRARIAS ;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;5;53808300;22110515
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS AGRARIAS ;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;10;107616600;40904987
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS AGRARIAS ;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;1;10761660;8609328
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS AGRARIAS ;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;1;10761660;8609328
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS AGRARIAS ;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;10761660;787908
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS VETERINARIAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;1;10761660;8609328
CIENCIAS AGROPECUARIAS;MAESTRÍA EN CIENCIAS VETERINARIAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;4;43046640;29056482
