Unidad;Concepto;Recurso;Tipo de Ingreso;Valor inicial;Valor aforo;Total recaudo;Fecha inicial;Fecha final;Tipo de Recurso
02 - INVESTIGACION Y EXTENSION;Convenios sin derechos económicos;34-Convenios sin derechos;Extensión y Posgrados;4984000000;4984000000;0;1/01/2026;30/04/2026;Recursos UPTC
02 - INVESTIGACION Y EXTENSION;Convenios sin derechos económicos;34-Convenios sin derechos;Extensión y Posgrados;0;0;2200000;1/01/2026;30/04/2026;Recursos UPTC
02 - INVESTIGACION Y EXTENSION;Recursos del balance - Convenios sin derechos;34-Convenios sin derechos;Extensión y Posgrados;0;1207489080;1207489080;1/01/2026;30/04/2026;Recursos del Balance
04 - CIENCIAS DE LA EDUCACION;Educación continuada;35-Educacion continuada;Extensión y Posgrados;150000000;150000000;18900000;1/01/2026;30/04/2026;Recursos UPTC
05 - CIENCIAS BASICAS;Educación continuada;35-Educacion continuada;Extensión y Posgrados;61000000;61000000;0;1/01/2026;30/04/2026;Recursos UPTC
06 - CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Educación continuada;35-Educacion continuada;Extensión y Posgrados;69000000;69000000;0;1/01/2026;30/04/2026;Recursos UPTC
07 - CIENCIAS DE LA SALUD;Educación continuada;35-Educacion continuada;Extensión y Posgrados;100000000;100000000;97142705;1/01/2026;30/04/2026;Recursos UPTC
08 - CIENCIAS AGROPECUARIAS;Educación continuada;35-Educacion continuada;Extensión y Posgrados;4000000;4000000;0;1/01/2026;30/04/2026;Recursos UPTC
09 - INGENIERIA;Educación continuada;35-Educacion continuada;Extensión y Posgrados;117000000;117000000;2500000;1/01/2026;30/04/2026;Recursos UPTC
10 - DERECHO Y CIENCIAS SOCIALES;Educación continuada;35-Educacion continuada;Extensión y Posgrados;20000000;20000000;3600000;1/01/2026;30/04/2026;Recursos UPTC
12 - SECCIONAL DUITAMA;Educación continuada;35-Educacion continuada;Extensión y Posgrados;255500000;255500000;34320000;1/01/2026;30/04/2026;Recursos UPTC
13 - SECCIONAL SOGAMOSO;Educación continuada;35-Educacion continuada;Extensión y Posgrados;142000000;142000000;72628000;1/01/2026;30/04/2026;Recursos UPTC
14 - SECCIONAL CHIQUINQUIRA;Educación continuada;35-Educacion continuada;Extensión y Posgrados;43000000;43000000;6103000;1/01/2026;30/04/2026;Recursos UPTC
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Educación continuada;35-Educacion continuada;Extensión y Posgrados;860000000;860000000;548732654;1/01/2026;30/04/2026;Recursos UPTC
02 - INVESTIGACION Y EXTENSION;Educación continuada;35-Educacion continuada;Extensión y Posgrados;535000000;535000000;174843399;1/01/2026;30/04/2026;Recursos UPTC
15 - SEDE REGIONAL AGUAZUL;Educación continuada;35-Educacion continuada;Extensión y Posgrados;30000000;30000000;9647000;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Estampilla pro Universidad Pedagógica y Tecnológica de Colombia;40-Estampilla UPTC;Estampilla Pro UPTC;4206444980;5737263195;1605125850;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Estampilla UPTC;40-Estampilla UPTC;Estampilla Pro UPTC;0;1880006027;1880006027;1/01/2026;30/04/2026;Recursos del Balance
