Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
2025;04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 2,989,000.00;$ 11,529,000.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.003;20;Ingresos de Vigencias Anteriores - Servicios Públicos;$ 278,100.00;$ 0.00;$ 5,379,980.00;$ 5,895,960.00;-$ 75,770.00;$ 0.00;-$ 450,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.04;20;Productos metálicos, maquinaria y equipo;$ 0.00;$ 140,000.00;$ 895,000.00;$ 670,000.00;$ 40,000.00;$ 750,000.00;$ 4,912,885.00;$ 900,000.00;$ 773,500.00;$ 25,000.00;$ 420,000.00;$ 0.00
2025;15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 6,191,500.00;$ 3,202,500.00;$ 0.00
2025;15 - SEDE REGIONAL AGUAZUL;1.1.02.05.002.01;20;"Minerales; electricidad, gas y agua";$ 0.00;$ 0.00;$ 0.00;$ 755,330.00;$ 685,288.00;$ 707,190.00;$ 518,400.00;$ 0.00;$ 191,170.00;$ 608,850.00;$ 906,940.00;$ 756,900.00
2025;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 5,129,190.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;14 - SECCIONAL CHIQUINQUIRA;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 3,311,010.00;$ 0.00;$ 1,537,255.00
2025;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 1,771,348.00;$ 0.00;$ 0.00;$ 996,450.00;$ 0.00;$ 0.00
2025;04 - CIENCIAS DE LA EDUCACION;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 0.00;$ 0.00;$ 492,292.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 1,626,548.00
2025;04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 980,400.00;$ 0.00;$ 0.00;$ 0.00;$ 501,600.00
