Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.002;10;Ingresos de Vigencias Anteriores - Aportes;$ 11,038,169,644.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.01;10;Aportes para Funcionamiento;$ 21,345,948,000.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 27,167,570,238.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.10;10.5;Matrículas Pregrado-Política de Gratuidad;$ 0.00;$ 0.00;$ 0.00;$ 1,395,938,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.003;12;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;$ 254,794.58;$ 254,794.58;$ 1,771,232.79;$ 2,165,753.31;$ 2,486,301.30;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.004;16;Rendimientos Financieros - CREE;$ 85,937.43;$ 0.00;$ 77,759.45;$ 85,947.92;$ 83,905.06;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02;16;Aportes para Inversion;$ 0.00;$ 0.00;$ 7,740,281,271.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.04;17;Devolucion de descuento por votacion;$ 376,234,900.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.05;18;Articulo 87 CESU;$ 140,681,800.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 0.00;$ 225,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;15 - SEDE REGIONAL AGUAZUL;1.1.02.03.001.05;20;Sanciones administrativas;$ 0.00;$ 39,200.00;$ 7,000.00;$ 73,500.00;$ 112,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.04;20;Productos metálicos, maquinaria y equipo;$ 0.00;$ 0.00;$ 170,000.00;$ 100,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 398,400.00;$ 980,800.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 1,114,800.00;$ 231,100.00;$ 0.00;$ 0.00;$ 105,100.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2026;15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 2,576,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
